description,flagged
FIC12718,False
PIC02151,False
PIC02631,False
LIC12705,True
TIC12711,False
FIC12702,False
QIC02151,True
FIC12703,True
FIC10721,False
QIC10720,False
QIC10701,False
FIC12631,False
FIC10702,True
PIC04123B,False
PIC04121A,False
PIC04121B,False
LIC10751,True
PIC02632,False
FIC051019C,True
TIC13125B,False
TIC04103,False
PIC05101,True
FIC05107,False
FIC05106,True
LIC0511,False
PIC11151B,False
PIC11151A,False
FIC11121,False
FIC13101,True
FIC11120,True
FIC11141,False
PIC11106,True
PIC11109,False
PIC11110,True
TIC13125A,False
PIC13117,False
LIC13106,False
TIC13115,False
FIC11122,True
TIC14113,False
FIC00303,False
PDIC11152B,False
PIC07814,False
FIC076012,False
PIC076012,False
PIC076008,False
LIC076015,False
TIC07601,True
PIC07602,False
PIC07301,True
PIC02121B,False
PIC02121A,False
LIC12620,True
FIC12607,False
FIC12603,False
PIC12617,False
TIC12121,False
TIC12102,False
FIC051025C,True
FIC08032,False
PDIC11152A,False
LIC07101,False
FIC00211,True
TIC02106,False
QIC12701,False
LIC05111,False
FIC10673,True
FIC10672,True
FIC10671,True
FIC10521A,False
FIC10521B,False
PIC10625,False
TIC10623,False
FIC10531,False
FIC10571,True
TIC00516,False
LIC00502,False
PIC00505,False
FIC00301,False
FIC00302,False
QIC08101,False
FIC051030C,True
HIC00304,True
HIC00305,True
HIC02122A,True
HIC02122B,True
HIC04122A,True
HIC04122B,True
HIC04123,True
HIC10725,True
HIC11180,True
HIC11181,False
HIC13106,False
