description,flagged
FIC12718,True
PIC02151,True
PIC02631,False
LIC12705,True
TIC12711,False
FIC12702,True
QIC02151,True
FIC12703,True
FIC10721,False
QIC10720,False
QIC10701,True
FIC12631,True
FIC10702,True
PIC04123B,True
PIC04121A,False
PIC04121B,True
LIC10751,False
PIC02632,False
FIC051019C,False
TIC13125B,True
TIC04103,True
PIC05101,True
FIC05107,False
FIC05106,True
LIC0511,False
PIC11151B,False
PIC11151A,False
FIC11121,False
FIC13101,False
FIC11120,False
FIC11141,True
PIC11106,True
PIC11109,True
PIC11110,True
TIC13125A,True
PIC13117,False
LIC13106,False
TIC13115,False
FIC11122,False
TIC14113,True
FIC00303,False
PDIC11152B,False
PIC07814,True
FIC076012,True
PIC076012,True
PIC076008,True
LIC076015,False
TIC07601,True
PIC07602,False
PIC07301,False
PIC02121B,False
PIC02121A,False
LIC12620,True
FIC12607,True
FIC12603,True
PIC12617,True
TIC12121,True
TIC12102,True
FIC051025C,False
FIC08032,True
PDIC11152A,False
LIC07101,False
FIC00211,True
TIC02106,True
QIC12701,True
LIC05111,False
FIC10673,True
FIC10672,True
FIC10671,True
FIC10521A,False
FIC10521B,False
PIC10625,False
TIC10623,False
FIC10531,True
FIC10571,True
TIC00516,False
LIC00502,True
PIC00505,True
FIC00301,True
FIC00302,False
QIC08101,False
FIC051030C,False
HIC00304,True
HIC00305,True
HIC02122A,True
HIC02122B,True
HIC04122A,True
HIC04122B,True
HIC04123,True
HIC10725,True
HIC11180,True
HIC11181,False
HIC13106,False
